SYMBOL;SERIES;OPEN;HIGH;LOW;CLOSE;LAST;PREVCLOSE;TOTTRDQTY;TOTTRDVAL;TIMESTAMP;TOTALTRADES;ISIN
20MICRONS;EQ;41.8;41.85;40.5;40.9;40.85;40.95;256628;10572800.8;06-JAN-2021;1334;INE144J01027
21STCENMGM;EQ;10.85;10.85;10.5;10.7;10.7;10.7;6280;67224.2;06-JAN-2021;65;INE253B01015
3IINFOTECH;EQ;7.75;7.75;7.75;7.75;7.75;7.4;1109387;8597749.25;06-JAN-2021;612;INE748C01020
3MINDIA;EQ;21775;22100;21200;21458.4;21555;21594.2;8558;185275748.45;06-JAN-2021;3388;INE470A01017
3PLAND;EQ;11.45;11.5;10.65;11.35;11.25;11.15;9485;105218.1;06-JAN-2021;81;INE105C01023
522GS2025;GS;97;97;97;97;97;97;3;291;06-JAN-2021;1;IN0020200112
5PAISA;EQ;302.65;308.5;302.65;307.9;306.85;302.65;16456;5041256.9;06-JAN-2021;796;INE618L01018
63MOONS;BE;82.95;82.95;79.85;80.7;81.75;79.95;63645;5178929.65;06-JAN-2021;405;INE111B01023
667GS2050;GS;105;105;105;105;105;105;1;105;06-JAN-2021;1;IN0020200252
759GS2026;GS;107.01;107.01;107.01;107.01;107.01;110;5;535.05;06-JAN-2021;1;IN0020150093
75GS2034;GS;99.77;99.77;99.77;99.77;99.77;104.98;239;23845.03;06-JAN-2021;1;IN0020040039
772GS2055;GS;116;116;116;116;116;116;1300;150800;06-JAN-2021;3;IN0020150077
817GS2044;GS;115;115;115;115;115;117.04;1000;115000;06-JAN-2021;21;IN0020140078
8KMILES;BE;78.05;81;78.05;78.75;79.95;80.2;42406;3382166.9;06-JAN-2021;353;INE650K01021
A2ZINFRA;EQ;5.95;5.95;5.25;5.5;5.55;5.8;1705664;9485478.5;06-JAN-2021;1719;INE619I01012
AAATECH;SM;42.3;42.5;42.25;42.25;42.25;42.5;9000;381150;06-JAN-2021;3;INE0D0U01013
AAKASH;EQ;76.5;78;74.9;77.75;78;76.05;61669;4726225.95;06-JAN-2021;725;INE087Z01016
AARON;EQ;54.95;54.95;52.8;53.65;53.95;53.4;8400;450212;06-JAN-2021;45;INE721Z01010
AARTIDRUGS;EQ;713;735;713;719.65;720;720.9;572821;414654967.25;06-JAN-2021;19486;INE767A01016
AARTIIND;EQ;1337.2;1349.9;1280;1290.55;1292;1337.2;411809;537535803.25;06-JAN-2021;24879;INE769A01020
AARTISURF;EQ;1030;1048;1000;1014.05;1014.7;1020.85;18481;18945509.05;06-JAN-2021;1411;INE09EO01013
AARVEEDEN;BE;18.3;18.4;17.3;17.6;18;18.2;37735;664232.55;06-JAN-2021;117;INE273D01019
AARVI;EQ;49.85;49.85;44.5;46.25;46.4;48.45;42513;1993405.45;06-JAN-2021;385;INE754X01016
AAVAS;EQ;2040.9;2053;1886.1;1910.3;1905;2021.7;226683;439984886.2;06-JAN-2021;14499;INE216P01012
ABAN;BE;29;30.05;28.65;29.7;29.95;28.65;157520;4670588.3;06-JAN-2021;758;INE421A01028
ABB;EQ;1295;1316;1291;1297.65;1305;1293.6;108081;141242809.05;06-JAN-2021;6210;INE117A01022
ABBOTINDIA;EQ;15689.25;15800;15483.55;15550.95;15577;15605.7;15681;245037707.8;06-JAN-2021;5119;INE358A01014
ABCAPITAL;EQ;89.6;90.5;87.3;88.55;88.6;89.65;2915411;260028405.5;06-JAN-2021;19565;INE674K01013
ABFRL;EQ;167.65;168.85;164.6;166.7;166.25;166.95;1567365;261164864.95;06-JAN-2021;19766;INE647O01011
ABFRLPP;E1;102.8;103.8;99.45;100.7;100.15;102.15;66688;6733115.8;06-JAN-2021;578;IN9647O01019
ABINFRA;SM;6.2;6.2;6.15;6.15;6.2;6.2;12000;74200;06-JAN-2021;3;INE00YB01017
ABMINTLTD;BE;26.05;26.05;24.85;24.85;24.85;24.85;107;2660.7;06-JAN-2021;8;INE251C01017
ABSLBANETF;EQ;320;320;314.11;318.24;318.06;316.33;49;15464.58;06-JAN-2021;10;INF209KB1O58
ABSLNN50ET;EQ;327;328;315;327.29;327.29;327.71;376;120790.25;06-JAN-2021;39;INF209KB1B87
