Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,20MICRONS,EQ,40.2,40.75,40.8,39.8,40.0,40.05,40.16,126229,506883550000.0,803,87881,0.6962
2021-01-04,20MICRONS,EQ,40.05,40.55,40.6,39.6,39.95,39.8,40.01,241109,964742475000.0,1314,152747,0.6335000000000001
2021-01-05,20MICRONS,EQ,39.8,39.8,41.95,39.55,41.1,40.95,40.71,375387,1528220360000.0,1767,216479,0.5767
2021-01-06,20MICRONS,EQ,40.95,41.8,41.85,40.5,40.85,40.9,41.2,256628,1057280080000.0001,1334,166964,0.6506000000000001
2021-01-07,20MICRONS,EQ,40.9,41.5,41.65,39.9,41.2,40.75,40.63,180584,733664310000.0,1083,108582,0.6013000000000001
2021-01-08,20MICRONS,EQ,40.75,41.8,42.0,40.2,41.75,41.65,41.55,600137,2493839760000.0,2754,336262,0.5603
2021-01-11,20MICRONS,EQ,41.65,41.65,42.0,39.6,39.75,39.85,40.56,264383,1072306655000.0001,1443,178535,0.6753
2021-01-12,20MICRONS,EQ,39.85,40.3,41.9,39.5,40.0,39.9,40.43,262240,1060192069999.9999,1656,163107,0.622
2021-01-13,20MICRONS,EQ,39.9,40.5,41.05,38.5,39.0,39.0,39.7,286999,1139290235000.0,1907,198886,0.693
2021-01-14,20MICRONS,EQ,39.0,39.0,40.8,37.9,40.0,39.85,39.21,374980,1470298890000.0,2468,156697,0.4179
2021-01-15,20MICRONS,EQ,39.85,40.0,40.05,38.2,38.9,38.55,39.14,133502,522479075000.0,1058,97190,0.728
2021-01-18,20MICRONS,EQ,38.55,39.4,39.65,36.6,36.8,36.9,37.5,239897,899630180000.0001,1437,155271,0.6472
2021-01-19,20MICRONS,EQ,36.9,37.75,38.5,36.5,38.0,37.65,37.76,124062,468514040000.00006,1048,62462,0.5035000000000001
2021-01-20,20MICRONS,EQ,37.65,37.8,38.65,37.8,38.45,38.4,38.21,143794,549458784999.99994,825,99337,0.6908
2021-01-21,20MICRONS,EQ,38.4,38.95,39.5,37.2,37.5,37.55,38.57,141568,545981159999.99994,993,80931,0.5717
2021-01-22,20MICRONS,EQ,37.55,37.3,38.4,37.0,37.5,37.55,37.59,87701,329696050000.0,617,62089,0.708
2021-01-25,20MICRONS,EQ,37.55,38.0,38.0,36.1,37.0,36.85,36.86,106363,392065410000.0,758,63797,0.5998
2021-01-01,21STCENMGM,EQ,10.45,10.65,10.65,10.45,10.65,10.65,10.62,978,1038775000.0,15,976,0.998
2021-01-04,21STCENMGM,EQ,10.65,10.65,10.85,10.45,10.6,10.6,10.59,17191,18210405000.0,854,14847,0.8636
2021-01-05,21STCENMGM,EQ,10.6,10.8,10.8,10.4,10.7,10.7,10.56,16536,17468090000.0,84,12551,0.7590000000000001
2021-01-06,21STCENMGM,EQ,10.7,10.85,10.85,10.5,10.7,10.7,10.7,6280,6722420000.0,65,5028,0.8006000000000001
2021-01-07,21STCENMGM,EQ,10.7,10.5,10.8,10.5,10.6,10.6,10.66,10375,11064860000.0,74,9392,0.9053
2021-01-08,21STCENMGM,EQ,10.6,10.8,10.8,10.5,10.8,10.75,10.75,5991,6438305000.0,57,4913,0.8201
2021-01-11,21STCENMGM,EQ,10.75,10.8,10.95,10.6,10.9,10.9,10.86,8409,9132135000.0,85,8078,0.9606
2021-01-12,21STCENMGM,EQ,10.9,10.9,10.9,10.75,10.9,10.8,10.83,1902,2059205000.0,29,1809,0.9511000000000001
2021-01-13,21STCENMGM,EQ,10.8,10.65,10.95,10.6,10.7,10.6,10.62,2655,2819555000.0,30,1654,0.623
2021-01-14,21STCENMGM,EQ,10.6,10.6,10.8,10.4,10.7,10.75,10.63,3428,3643844999.9999995,110,2747,0.8013
2021-01-15,21STCENMGM,EQ,10.75,10.9,10.95,10.55,10.95,10.95,10.84,10299,11160030000.0,71,7725,0.7501000000000001
2021-01-18,21STCENMGM,EQ,10.95,10.95,11.15,10.75,10.85,10.85,10.98,7201,7907745000.0,79,6299,0.8747
2021-01-19,21STCENMGM,EQ,10.85,10.7,11.05,10.7,11.05,11.05,10.96,1287,1410285000.0,8,1287,1.0
2021-01-20,21STCENMGM,EQ,11.05,11.05,11.25,10.95,11.25,11.15,11.18,4450,4974495000.0,47,3872,0.8701000000000001
2021-01-21,21STCENMGM,EQ,11.15,11.2,11.35,11.0,11.35,11.3,11.3,3851,4351055000.0,52,3504,0.9098999999999999
2021-01-22,21STCENMGM,EQ,11.3,11.35,11.35,11.1,11.1,11.15,11.16,2004,2237365000.0,19,1674,0.8353
2021-01-25,21STCENMGM,EQ,11.15,11.15,11.35,10.95,10.95,10.95,11.1,3018,3348985000.0,39,1913,0.6339
2021-01-01,3IINFOTECH,EQ,6.45,6.75,6.75,6.75,6.75,6.75,6.75,666689,450015075000.0,467,666689,1.0
2021-01-04,3IINFOTECH,EQ,6.75,7.05,7.05,7.05,7.05,7.05,7.05,2282179,1608936195000.0,577,2282179,1.0
2021-01-05,3IINFOTECH,EQ,7.05,7.4,7.4,7.4,7.4,7.4,7.4,800501,592370740000.0,631,795301,0.9934999999999999
2021-01-06,3IINFOTECH,EQ,7.4,7.75,7.75,7.75,7.75,7.75,7.75,1109387,859774925000.0,612,1109387,1.0
2021-01-07,3IINFOTECH,EQ,7.75,8.1,8.1,7.8,8.1,8.1,8.06,39048167,31475481945000.0,8729,28415548,0.7277
2021-01-08,3IINFOTECH,EQ,8.1,8.5,8.5,8.5,8.5,8.5,8.5,1852252,1574414200000.0,826,1429817,0.7719
2021-01-11,3IINFOTECH,EQ,8.5,8.9,8.9,8.25,8.9,8.9,8.85,37072145,32804773550000.0,12672,21355791,0.5761000000000001
2021-01-12,3IINFOTECH,EQ,8.9,9.3,9.3,8.6,8.7,9.0,9.17,55506983,50888188140000.0,31179,25936167,0.4673
2021-01-13,3IINFOTECH,EQ,9.0,8.55,8.55,8.55,8.55,8.55,8.55,6108862,5223077010000.0,13866,5816396,0.9521
2021-01-14,3IINFOTECH,EQ,8.55,8.15,8.15,8.15,8.15,8.15,8.15,3617241,2948051415000.0,8435,3611720,0.9984999999999999
2021-01-15,3IINFOTECH,EQ,8.15,7.75,8.55,7.75,8.55,8.4,7.97,133514712,106399233570000.0,49798,45731353,0.3425
2021-01-18,3IINFOTECH,EQ,8.4,8.6,8.8,8.1,8.4,8.4,8.56,56018736,47975540425000.0,32206,17009892,0.3036
2021-01-19,3IINFOTECH,EQ,8.4,8.5,8.7,8.05,8.4,8.4,8.39,18025104,15116983375000.0,15398,8735047,0.48460000000000003
2021-01-20,3IINFOTECH,EQ,8.4,8.4,8.55,8.0,8.05,8.0,8.15,15211881,12398148165000.0,16459,9482083,0.6233
2021-01-21,3IINFOTECH,EQ,8.0,8.0,8.3,7.7,7.9,7.75,7.89,21447649,16920898200000.0,14794,13913013,0.6487
2021-01-22,3IINFOTECH,EQ,7.75,7.9,8.0,7.4,7.4,7.4,7.5,16655036,12495592685000.0,14758,8675756,0.5209
2021-01-25,3IINFOTECH,EQ,7.4,7.35,7.4,7.05,7.05,7.05,7.07,16325111,11545855725000.0,10076,8432774,0.5166
2021-01-01,3MINDIA,EQ,20830.55,20830.7,21243.95,20830.7,21098.0,21127.6,21040.66,1663,3499062154999.9995,1079,871,0.5238
2021-01-04,3MINDIA,EQ,21127.6,21288.0,21300.0,21065.0,21175.0,21154.65,21177.62,3043,6444350335000.0,1846,1769,0.5813
2021-01-05,3MINDIA,EQ,21154.65,21154.65,21899.0,21011.0,21801.05,21594.2,21347.52,3048,6506724985000.0,1853,2001,0.6565000000000001
2021-01-06,3MINDIA,EQ,21594.2,21775.0,22100.0,21200.0,21555.0,21458.4,21649.42,8558,18527574845000.0,3388,4934,0.5765
2021-01-07,3MINDIA,EQ,21458.4,21650.0,21700.0,21435.1,21601.0,21626.0,21586.36,3515,7587606045000.0,2255,2158,0.6139
2021-01-08,3MINDIA,EQ,21626.0,21553.0,21898.95,21331.0,21760.0,21735.4,21564.94,15435,33285483325000.0,4911,12447,0.8064
2021-01-11,3MINDIA,EQ,21735.4,21910.0,21935.0,21449.75,21600.0,21727.25,21613.18,14163,30610750039999.996,2669,12455,0.8794
2021-01-12,3MINDIA,EQ,21727.25,21727.0,21778.15,21502.0,21600.0,21588.4,21648.36,2681,5803926480000.0,1648,1402,0.5229
2021-01-13,3MINDIA,EQ,21588.4,21600.0,21750.0,21211.0,21349.0,21267.55,21379.01,4715,10080202090000.0,2921,1980,0.41990000000000005
2021-01-14,3MINDIA,EQ,21267.55,21489.0,21489.0,21000.0,21101.05,21100.2,21113.16,3041,6420510925000.0,1736,1944,0.6393
2021-01-15,3MINDIA,EQ,21100.2,21200.0,21247.15,20700.0,20750.0,20766.85,20792.98,8978,18667939475000.0,5435,5516,0.6144
2021-01-18,3MINDIA,EQ,20766.85,20874.0,21399.9,20501.15,21300.3,21238.7,20821.91,4922,10248542940000.0,2570,2977,0.6048
2021-01-19,3MINDIA,EQ,21238.7,21500.0,21634.2,21206.3,21450.0,21464.2,21486.86,5281,11347211620000.0,2948,2883,0.5459
2021-01-20,3MINDIA,EQ,21464.2,21499.0,21546.4,21120.75,21260.0,21259.65,21254.1,4467,9494208560000.0,2258,2688,0.6017
2021-01-21,3MINDIA,EQ,21259.65,21400.0,21400.0,20700.0,20825.0,20791.05,20839.58,11113,23159029100000.0,3367,8570,0.7712000000000001
2021-01-22,3MINDIA,EQ,20791.05,20792.0,20871.3,20410.05,20420.0,20473.7,20500.0,4163,8534148420000.0,2244,2529,0.6075
2021-01-25,3MINDIA,EQ,20473.7,20688.0,20744.0,19900.0,20049.0,20005.2,20125.47,5633,11336679790000.0,3605,3013,0.5349
2021-01-01,3PLAND,EQ,11.35,11.35,11.65,10.8,11.05,11.2,11.04,18637,20582125000.0,88,15734,0.8442000000000001
2021-01-04,3PLAND,EQ,11.2,11.7,11.7,10.75,11.4,11.35,11.34,7865,8918935000.0,97,4729,0.6013000000000001
2021-01-05,3PLAND,EQ,11.35,11.4,11.65,10.8,11.5,11.15,11.21,15207,17050940000.0,65,12688,0.8344
2021-01-06,3PLAND,EQ,11.15,11.45,11.5,10.65,11.25,11.35,11.09,9485,10521810000.0,81,7031,0.7413
2021-01-07,3PLAND,EQ,11.35,11.6,11.6,10.8,11.2,11.0,11.21,4504,5050200000.0,48,3645,0.8093000000000001
2021-01-08,3PLAND,EQ,11.0,11.0,11.35,10.6,11.15,10.95,11.01,8982,9893635000.0,85,7819,0.8704999999999999
2021-01-11,3PLAND,EQ,10.95,10.95,10.95,10.5,10.5,10.55,10.72,6391,6848064999.999999,53,4431,0.6933
2021-01-12,3PLAND,EQ,10.55,10.15,10.85,10.15,10.3,10.3,10.55,2817,2971920000.0,43,1706,0.6056
2021-01-13,3PLAND,EQ,10.3,10.2,10.75,10.2,10.2,10.2,10.45,4770,4986880000.0,104,3143,0.6589
2021-01-14,3PLAND,EQ,10.2,10.2,10.65,9.7,10.45,10.4,10.22,7118,7272135000.000001,45,5193,0.7295999999999999
2021-01-15,3PLAND,EQ,10.4,10.45,10.7,10.05,10.6,10.6,10.45,1666,1741190000.0000002,34,1073,0.6441
2021-01-18,3PLAND,EQ,10.6,10.8,10.95,10.1,10.1,10.2,10.16,7379,7497075000.0,54,7209,0.9770000000000001
2021-01-19,3PLAND,EQ,10.2,10.65,10.65,9.7,10.0,10.0,10.03,3007,3015460000.0,57,2455,0.8164
2021-01-20,3PLAND,EQ,10.0,9.5,10.5,9.5,10.2,10.2,10.02,4097,4104619999.9999995,70,2160,0.5272
2021-01-21,3PLAND,EQ,10.2,10.0,10.5,10.0,10.2,10.0,10.27,11687,12008045000.0,94,8653,0.7404000000000001
2021-01-22,3PLAND,EQ,10.0,10.0,10.4,9.5,9.6,9.6,9.71,9029,8762920000.0,79,5636,0.6242
2021-01-25,3PLAND,EQ,9.6,9.6,10.0,9.6,9.95,9.95,9.84,1461,1437390000.0,40,948,0.6489
2021-01-01,5PAISA,EQ,300.7,307.9,307.9,295.0,302.4,302.15,301.85,10239,309068100000.0,430,5922,0.5784
2021-01-04,5PAISA,EQ,302.15,305.9,309.8,299.3,304.0,302.8,303.36,13969,423763584999.99994,352,10070,0.7209000000000001
2021-01-05,5PAISA,EQ,302.8,301.5,307.45,299.0,301.85,302.65,303.01,11478,347796100000.0,557,6705,0.5842
2021-01-06,5PAISA,EQ,302.65,302.65,308.5,302.65,306.85,307.9,306.35,16456,504125690000.00006,796,10663,0.648
2021-01-07,5PAISA,EQ,307.9,308.1,315.0,307.0,312.55,312.0,311.16,17304,538439400000.0,589,10945,0.6325000000000001
2021-01-08,5PAISA,EQ,312.0,310.35,335.75,295.0,316.0,315.1,315.07,31421,989995565000.0,1198,16964,0.5399
2021-01-11,5PAISA,EQ,315.1,320.0,346.6,319.95,346.6,343.0,332.49,72598,2413780665000.0,2029,53808,0.7412000000000001
2021-01-12,5PAISA,EQ,343.0,354.4,377.3,351.0,377.3,377.3,370.22,227778,8432722670000.0,5317,89822,0.3943
2021-01-13,5PAISA,EQ,377.3,387.75,387.75,350.1,362.0,357.8,364.11,197350,7185798850000.0,6972,94026,0.4764
2021-01-14,5PAISA,EQ,357.8,359.5,369.7,326.0,328.7,328.1,342.25,219497,7512335020000.0,8360,112536,0.5127
2021-01-15,5PAISA,EQ,328.1,329.1,334.85,305.0,309.0,308.05,314.05,120281,3777449120000.0005,4271,57157,0.47520000000000007
2021-01-18,5PAISA,EQ,308.05,309.0,309.0,287.15,287.5,288.7,291.82,115872,3381391920000.0005,3226,65631,0.5664
2021-01-19,5PAISA,EQ,288.7,296.0,307.8,295.45,306.5,305.75,303.08,50936,1543754940000.0,1835,25337,0.4974
2021-01-20,5PAISA,EQ,305.75,313.0,313.0,300.55,302.05,303.4,305.9,27123,829691195000.0,1514,14983,0.5524
2021-01-21,5PAISA,EQ,303.4,308.8,309.0,292.2,296.35,295.45,299.79,28985,868946850000.0,1559,18946,0.6536
2021-01-22,5PAISA,EQ,295.45,294.5,297.9,285.0,287.25,287.75,289.61,32643,945365294999.9999,1809,20710,0.6344
2021-01-25,5PAISA,EQ,287.75,296.9,296.9,277.1,278.55,279.0,281.44,25296,711925415000.0,3181,15193,0.6006
2021-01-01,A2ZINFRA,EQ,4.85,4.75,5.3,4.75,5.3,5.3,5.19,1764688,915615475000.0,1180,1107511,0.6276
2021-01-04,A2ZINFRA,EQ,5.3,5.5,5.8,5.5,5.8,5.8,5.72,836894,478528534999.99994,579,725510,0.8669
2021-01-05,A2ZINFRA,EQ,5.8,5.9,6.2,5.45,5.8,5.8,5.78,1984105,1147569670000.0,2042,1190004,0.5998
2021-01-06,A2ZINFRA,EQ,5.8,5.95,5.95,5.25,5.55,5.5,5.56,1705664,948547850000.0,1719,1118928,0.6559999999999999
2021-01-07,A2ZINFRA,EQ,5.5,5.7,5.7,5.15,5.35,5.25,5.37,1451426,778931790000.0,1361,963136,0.6636
2021-01-08,A2ZINFRA,EQ,5.25,5.25,5.4,4.95,4.95,5.05,5.18,1121333,580469260000.0,1107,871783,0.7775
2021-01-11,A2ZINFRA,EQ,5.05,5.1,5.55,4.8,5.55,5.55,5.26,2376603,1249456160000.0,1626,1260781,0.5305
2021-01-12,A2ZINFRA,EQ,5.55,5.6,6.05,5.35,5.5,5.5,5.79,2597997,1504378495000.0,2139,1670082,0.6428
2021-01-13,A2ZINFRA,EQ,5.5,5.6,5.65,5.15,5.25,5.2,5.34,1452801,776247665000.0,1211,979893,0.6745
2021-01-14,A2ZINFRA,EQ,5.2,5.25,5.55,5.05,5.1,5.1,5.25,1127602,591937450000.0,1011,760555,0.6745
2021-01-15,A2ZINFRA,EQ,5.1,5.05,5.1,4.95,5.0,5.0,5.04,885520,446711505000.0,717,734102,0.8290000000000001
2021-01-18,A2ZINFRA,EQ,5.0,4.95,5.15,4.8,5.05,5.0,4.9,767854,376180630000.0,562,632344,0.8235
2021-01-19,A2ZINFRA,EQ,5.0,5.05,5.15,4.9,4.95,4.95,5.02,511269,256745215000.0,422,293239,0.5736
2021-01-20,A2ZINFRA,EQ,4.95,5.0,5.0,4.85,4.95,4.95,4.93,407309,200679850000.0,350,226888,0.557
2021-01-21,A2ZINFRA,EQ,4.95,4.95,5.0,4.8,4.9,4.85,4.89,261598,128034735000.00002,364,191309,0.7313
2021-01-22,A2ZINFRA,EQ,4.85,4.85,4.9,4.75,4.9,4.85,4.82,288123,138911775000.0,344,205066,0.7117
2021-01-25,A2ZINFRA,EQ,4.85,4.95,4.95,4.6,4.65,4.65,4.69,342460,160485070000.0,392,254720,0.7438
2021-01-01,AAKASH,EQ,72.85,74.25,76.5,74.25,74.3,75.3,74.78,45460,339951705000.0,418,17189,0.37810000000000005
2021-01-04,AAKASH,EQ,75.3,76.5,76.5,75.0,76.05,75.9,75.94,43927,333567520000.0,411,20667,0.4705
2021-01-05,AAKASH,EQ,75.9,76.5,76.5,74.0,76.25,76.05,75.34,47453,357531425000.0,552,19231,0.4053
2021-01-06,AAKASH,EQ,76.05,76.5,78.0,74.9,78.0,77.75,76.64,61669,472622595000.0,725,24548,0.3981
2021-01-07,AAKASH,EQ,77.75,78.7,78.7,76.4,78.5,78.3,78.14,36940,288660525000.0,485,16077,0.43520000000000003
2021-01-08,AAKASH,EQ,78.3,78.45,78.75,77.5,78.75,78.55,78.36,26572,208220000000.0,379,7944,0.299
2021-01-11,AAKASH,EQ,78.55,79.0,79.25,77.0,79.25,79.05,78.27,37055,290023325000.0,482,16734,0.4516
2021-01-12,AAKASH,EQ,79.05,79.25,80.0,77.5,80.0,79.85,79.13,43755,346251295000.0,624,15614,0.3569
2021-01-13,AAKASH,EQ,79.85,81.45,87.7,80.75,83.0,82.7,82.7,100969,834974895000.0,763,48028,0.4757
2021-01-14,AAKASH,EQ,82.7,84.2,84.2,82.0,83.8,83.75,83.47,60764,507181365000.00006,452,19773,0.3254
2021-01-15,AAKASH,EQ,83.75,84.7,86.5,84.0,85.5,85.35,85.25,40486,345130965000.0,438,13097,0.3235
2021-01-18,AAKASH,EQ,85.35,87.5,90.0,84.4,90.0,87.1,86.46,49897,431431575000.0,627,17365,0.348
2021-01-19,AAKASH,EQ,87.1,89.9,92.65,88.15,92.65,92.3,92.06,53191,489662470000.0,657,22129,0.41600000000000004
2021-01-20,AAKASH,EQ,92.3,92.75,92.75,92.0,92.0,92.45,92.5,38467,355828555000.0,485,15938,0.4143
2021-01-21,AAKASH,EQ,92.45,92.85,92.85,91.0,92.25,91.8,92.1,35066,322946785000.0,422,16491,0.4703
2021-01-22,AAKASH,EQ,91.8,90.6,92.35,90.6,91.0,91.45,91.46,81559,745908735000.0,556,32414,0.39740000000000003
2021-01-25,AAKASH,EQ,91.45,90.2,92.7,89.5,90.5,90.2,90.73,39804,361124400000.0,514,14286,0.3589
2021-01-01,AARON,EQ,50.6,52.9,52.9,50.4,52.8,51.85,52.56,10752,56515225000.0,70,8157,0.7586
2021-01-04,AARON,EQ,51.85,50.45,54.4,50.45,54.0,54.1,53.72,10634,57129235000.0,97,8642,0.8127
2021-01-05,AARON,EQ,54.1,55.9,55.9,51.65,53.95,53.4,53.82,3134,16868135000.0,46,2356,0.7518000000000001
2021-01-06,AARON,EQ,53.4,54.95,54.95,52.8,53.95,53.65,53.6,8400,45021200000.0,45,6334,0.7540000000000001
2021-01-07,AARON,EQ,53.65,53.95,53.95,52.6,53.4,53.4,53.35,991,5286505000.0,27,718,0.7245
2021-01-08,AARON,EQ,53.4,53.4,54.1,52.2,54.1,54.0,53.85,5568,29985805000.0,59,3837,0.6890999999999999
2021-01-11,AARON,EQ,54.0,56.7,56.7,53.05,53.5,53.7,54.35,3531,19192250000.0,68,1933,0.5474
2021-01-12,AARON,EQ,53.7,53.7,56.35,51.1,56.35,55.1,53.96,10386,56039375000.0,131,6564,0.632
2021-01-13,AARON,EQ,55.1,52.7,55.9,52.7,52.8,53.05,53.73,3590,19288835000.0,63,1427,0.3975
2021-01-14,AARON,EQ,53.05,52.85,53.8,50.4,50.5,50.6,51.1,9017,46077105000.0,157,5015,0.5562
2021-01-15,AARON,EQ,50.6,50.6,51.55,50.5,51.5,51.4,51.13,755,3860275000.0,33,435,0.5761999999999999
2021-01-18,AARON,EQ,51.4,53.5,53.5,50.1,51.5,51.4,51.31,2152,11042175000.0,67,1445,0.6715000000000001
2021-01-19,AARON,EQ,51.4,51.4,51.8,50.1,51.0,51.0,50.83,634,3222765000.0,18,320,0.5047
2021-01-20,AARON,EQ,51.0,49.05,53.45,49.05,51.45,51.0,50.92,564,2872005000.0,42,306,0.5426
2021-01-21,AARON,EQ,51.0,51.45,51.45,49.0,50.0,49.55,50.15,910,4563290000.0,38,569,0.6253000000000001
2021-01-22,AARON,EQ,49.55,49.55,52.0,47.65,48.25,48.25,50.21,5819,29217000000.0,113,3376,0.5802
2021-01-25,AARON,EQ,48.25,48.25,50.65,46.5,49.5,49.65,49.0,4886,23941685000.0,109,2405,0.4922
2021-01-01,AARTIDRUGS,EQ,705.15,710.0,747.5,708.5,735.5,735.0,734.72,1450044,106536972305000.0,51287,366777,0.2529
2021-01-04,AARTIDRUGS,EQ,735.0,751.0,756.0,735.0,740.0,739.75,743.98,689719,51313474450000.0,22346,230249,0.33380000000000004
2021-01-05,AARTIDRUGS,EQ,739.75,732.0,733.35,682.6,722.5,720.9,715.44,1717005,122842180030000.0,66373,366558,0.21350000000000002
2021-01-06,AARTIDRUGS,EQ,720.9,713.0,735.0,713.0,720.0,719.65,723.88,572821,41465496725000.0,19486,195005,0.3404
2021-01-07,AARTIDRUGS,EQ,719.65,724.9,732.0,722.3,727.0,727.75,728.36,408235,29734223195000.0,26934,194394,0.47619999999999996
2021-01-08,AARTIDRUGS,EQ,727.75,731.0,749.0,728.0,735.0,736.05,739.51,824889,61001755390000.0,33152,222023,0.26920000000000005
2021-01-11,AARTIDRUGS,EQ,736.05,741.9,746.0,720.0,722.25,722.25,726.64,373517,27141162525000.0,18247,160222,0.429
2021-01-12,AARTIDRUGS,EQ,722.25,722.0,729.85,715.55,717.5,717.2,720.87,335300,24170628440000.0,15620,151556,0.452
2021-01-13,AARTIDRUGS,EQ,717.2,722.85,728.0,703.0,708.0,706.9,711.81,356778,25395760950000.0,16729,174000,0.4877
2021-01-14,AARTIDRUGS,EQ,706.9,708.4,726.75,708.0,715.9,716.75,716.03,337959,24198888260000.0,12407,108954,0.3224
2021-01-15,AARTIDRUGS,EQ,716.75,717.05,720.0,703.0,710.0,707.2,710.67,221698,15755375810000.0,11220,89653,0.4044
2021-01-18,AARTIDRUGS,EQ,707.2,709.5,711.8,695.0,696.55,697.4,699.19,226229,15817668615000.0,11321,96528,0.4267
2021-01-19,AARTIDRUGS,EQ,697.4,700.0,708.8,700.0,702.8,702.2,703.94,145031,10209294285000.0,6650,67426,0.46490000000000004
2021-01-20,AARTIDRUGS,EQ,702.2,707.0,708.9,696.85,699.7,699.15,701.72,197406,13852378915000.0,8238,95443,0.48350000000000004
2021-01-21,AARTIDRUGS,EQ,699.15,705.5,707.0,690.4,694.0,693.65,699.81,243515,17041412305000.002,10106,129126,0.5303
2021-01-22,AARTIDRUGS,EQ,693.65,694.0,700.0,684.1,690.0,686.1,690.17,270538,18671671655000.0,14845,119820,0.4429
2021-01-25,AARTIDRUGS,EQ,686.1,692.5,734.8,679.5,714.0,718.0,713.49,1671924,119290242065000.02,78149,389410,0.2329
2021-01-01,AARTIIND,EQ,1234.8,1244.0,1275.0,1242.1,1260.0,1260.5,1261.62,406198,51246560350000.0,18336,125007,0.30770000000000003
